epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/IoU_crack(M),metrics/IoU_background(M),metrics/mIoU(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1022.38,0.56161,0.96627,0.54419,1.01822,0.83027,0.81973,0.85883,0.69663,0.83574,0.82016,0.86572,0.56877,0.55471,0.93977,0.74724,0.73315,0.7731,0.78141,1.0111,0.0011684,0.0011684,0.0011684
86,1034.39,0.5675,0.96614,0.53586,1.02526,0.86509,0.79837,0.87193,0.70082,0.87487,0.81063,0.87296,0.56913,0.79973,0.98145,0.89059,0.7546,0.79265,0.79598,1.03997,0.0011585,0.0011585,0.0011585
87,1046.31,0.55512,0.95596,0.52118,1.0099,0.8525,0.79973,0.87011,0.70359,0.87334,0.80518,0.87146,0.57328,0.71344,0.96997,0.84171,0.75307,0.79368,0.81809,1.04557,0.0011486,0.0011486,0.0011486
88,1058.17,0.56426,0.95356,0.52036,1.02263,0.84048,0.81471,0.87991,0.71015,0.89488,0.78869,0.88188,0.57065,0.76767,0.97754,0.8726,0.73549,0.77963,0.74895,1.01397,0.0011387,0.0011387,0.0011387
89,1070.01,0.55685,0.95397,0.53075,1.0155,0.8854,0.7752,0.87597,0.72273,0.90429,0.78521,0.88193,0.57832,0.40762,0.88937,0.64849,0.70287,0.78059,0.76148,0.99153,0.0011288,0.0011288,0.0011288
90,1081.83,0.54849,0.96756,0.51947,1.01506,0.83673,0.81744,0.86074,0.68351,0.87956,0.79973,0.87156,0.56608,0.52492,0.93121,0.72806,0.81628,0.77543,0.83448,1.08993,0.0011189,0.0011189,0.0011189
91,1093.79,0.56887,0.96883,0.51627,1.02663,0.86034,0.80245,0.87679,0.71317,0.88956,0.7861,0.88086,0.57925,0.6708,0.96288,0.81684,0.74512,0.77681,0.7849,1.02552,0.001109,0.001109,0.001109
92,1105.64,0.56542,0.9582,0.52608,1.01716,0.81766,0.82425,0.86622,0.67629,0.84639,0.81824,0.8605,0.54547,0.70437,0.96866,0.83651,0.75274,0.78406,0.80694,1.05562,0.0010991,0.0010991,0.0010991
93,1117.45,0.54926,0.95196,0.50427,1.00377,0.86137,0.79973,0.87577,0.69493,0.86774,0.80445,0.87839,0.55726,0.75796,0.97631,0.86714,0.77124,0.77431,0.78412,1.05785,0.0010892,0.0010892,0.0010892
94,1129.25,0.54317,0.94312,0.50382,1.00992,0.83259,0.82425,0.88601,0.7128,0.86048,0.81063,0.88148,0.56869,0.41976,0.89588,0.65782,0.71994,0.79767,0.74832,1.01237,0.0010793,0.0010793,0.0010793
95,1141.09,0.54335,0.95281,0.52105,1.00392,0.83554,0.80294,0.86761,0.68367,0.83611,0.80628,0.85905,0.54227,0.54874,0.93961,0.74417,0.76339,0.81811,0.80804,1.0288,0.0010694,0.0010694,0.0010694
96,1153.13,0.5462,0.95191,0.50718,1.01287,0.84132,0.80901,0.86653,0.71251,0.86939,0.80713,0.86769,0.56846,0.31394,0.83905,0.57649,0.70376,0.82346,0.77501,0.98745,0.0010595,0.0010595,0.0010595
97,1164.96,0.52825,0.93408,0.52097,1.00767,0.86441,0.81335,0.87729,0.71252,0.87622,0.797,0.87437,0.56862,0.62716,0.95525,0.79121,0.73367,0.77462,0.77321,1.0266,0.0010496,0.0010496,0.0010496
98,1176.85,0.53773,0.9502,0.50683,1.00067,0.85527,0.79428,0.86686,0.69658,0.8577,0.79653,0.86859,0.57243,0.787,0.97959,0.88329,0.73344,0.7796,0.78737,1.00449,0.0010397,0.0010397,0.0010397
99,1188.73,0.53016,0.92842,0.50284,0.99949,0.84742,0.80109,0.88678,0.71878,0.86892,0.79973,0.88225,0.58356,0.78437,0.97947,0.88192,0.73462,0.77156,0.79777,1.02088,0.0010298,0.0010298,0.0010298
100,1200.7,0.5262,0.94937,0.49342,1.00079,0.83117,0.80489,0.87526,0.72036,0.91235,0.76575,0.87712,0.58402,0.69964,0.96742,0.83353,0.73361,0.78983,0.77609,1.0122,0.0010199,0.0010199,0.0010199
101,1212.66,0.54621,0.93797,0.50153,1.01004,0.86962,0.78149,0.86551,0.70586,0.86884,0.797,0.87279,0.57418,0.43336,0.90151,0.66744,0.73546,0.77958,0.80294,1.0215,0.00101,0.00101,0.00101
102,1224.62,0.54004,0.94879,0.50298,1.00168,0.8753,0.79837,0.88251,0.71832,0.88822,0.79292,0.88742,0.58284,0.5175,0.93079,0.72415,0.72943,0.78476,0.76838,1.02358,0.0010001,0.0010001,0.0010001
103,1236.55,0.52943,0.91251,0.48863,1.00461,0.85295,0.81395,0.86792,0.71727,0.88926,0.80245,0.87388,0.56622,0.21026,0.71534,0.4628,0.72484,0.8077,0.78652,1.02219,0.0009902,0.0009902,0.0009902
104,1248.52,0.52398,0.92366,0.47996,1.00426,0.86685,0.80711,0.87659,0.72503,0.88135,0.8188,0.88118,0.58247,0.62238,0.95431,0.78835,0.70954,0.78446,0.73825,0.99863,0.0009803,0.0009803,0.0009803
105,1260.53,0.53446,0.94018,0.49189,1.00415,0.84475,0.8079,0.87525,0.72113,0.83875,0.82203,0.88051,0.58453,0.46855,0.91518,0.69187,0.7329,0.76588,0.75598,1.0161,0.0009704,0.0009704,0.0009704
106,1272.42,0.51643,0.91904,0.47671,0.99357,0.85497,0.78711,0.85578,0.70312,0.87254,0.80206,0.86635,0.56889,0.75073,0.97499,0.86286,0.73922,0.77662,0.81333,1.0225,0.0009605,0.0009605,0.0009605
107,1284.29,0.5215,0.91762,0.48311,1.00049,0.86597,0.79428,0.87243,0.71616,0.89628,0.79973,0.87611,0.57278,0.7691,0.97753,0.87331,0.73747,0.78131,0.79048,1.01945,0.0009506,0.0009506,0.0009506
108,1296.2,0.53548,0.92738,0.48726,1.00911,0.84566,0.82289,0.88682,0.73007,0.85657,0.83515,0.88564,0.58379,0.7486,0.97495,0.86177,0.72211,0.7861,0.74348,1.01321,0.0009407,0.0009407,0.0009407
109,1308.36,0.50747,0.91806,0.46242,0.98612,0.88378,0.79019,0.87154,0.72332,0.89905,0.80078,0.87603,0.58276,0.73388,0.97277,0.85332,0.71371,0.79999,0.7732,1.00059,0.0009308,0.0009308,0.0009308
110,1320.26,0.51952,0.92183,0.4839,0.99446,0.86006,0.80385,0.87915,0.7271,0.88574,0.81063,0.87985,0.58658,0.74488,0.97456,0.85972,0.71075,0.79474,0.75333,1.01571,0.0009209,0.0009209,0.0009209
